UPC,IMDB
000799201329,tt0068000
000799407929,tt1675303
000799409220,tt0163561
000799409329,tt0204350
000799430521,tt0392789
000799430620,tt0383915
000799431627,tt0188936
000799434628,tt0286218
000799436127,tt0301771
000799437926,tt0437217
000799439425,tt0477806
000799620229,tt0172610
000799628225,tt0076661
000799801420,tt0232015
000799807729,tt0478265
000799817520,tt1412093
000799819821,tt1864461
001203135407,tt0120338
002454305762,tt0151738
011301200921,tt0289652
011301202321,tt0101678
011301207227,tt0077294
011301600226,tt0055686
011301610256,tt0080532
011301613066,tt0102125
011301621054,tt0052451
011301621573,tt0070814
011301629753,tt0055686
011301630049,tt0462522
011301630445,tt0455447
011301632845,tt0052506
011301634337,tt0055662
011301634436,tt0053479
011301634733,tt0053479
011301634757,tt0068962
011301635440,tt0062496
011301635549,tt0066859
011301640543,tt0052451
011301641946,tt0055662
011301644565,tt0084431
011301644732,tt0052451
011301645036,tt0046414
011301645135,tt0039645
011301645234,tt0039152
011301645432,tt0047542
011301645630,tt0052451
011301655134,tt0046578
011301655837,tt0048879
011301655936,tt0048879
011301656964,tt0055686
011301658937,tt0052442
011301660763,tt0053479
011301665249,tt0061832
011301665348,tt0069825
011301666437,tt0289652
011301667830,tt0289652
011301667939,tt0289652
011301672230,tt0446769
011301672339,tt0446769
011301675439,tt0433562
011301678355,tt0031397
011301678539,tt0433562
011301680358,tt0055662
011301680457,tt0053479
011301681232,tt0107604
011301684868,tt0055662
011301686930,tt0843873
011301689832,tt0101678
011301690333,tt0064397
011301692863,tt0077234
011301693433,tt0490798
011301694256,tt0056780
011301698254,tt0026867
011551745425,tt0118631
011575035182,tt0383648
011575133277,tt0378109
011891510608,tt0055686
011891510974,tt0039003
011891512220,tt0052451
011891514446,tt0056780
011891516679,tt0283503
011891516693,tt0100800
011891516709,tt0811106
011891516730,tt0463027
011891517980,tt0833960
011891700108,"tt0088936,tt0095296"
011891700382,tt0109303
011891701440,"tt0090927,tt0099399,tt0088936"
011891850087,tt0102220
011891850254,"tt0120723,tt0089346"
011891850537,tt0091767
011891850568,tt0297884
011891930055,tt0052451
011891930086,tt0055686
011891930185,"tt0031322,tt0042210,tt0013341,tt0036455,tt0022402,tt0015477,tt0013416,tt0011545,tt0012646,tt0248877,tt0142972,tt0012347,tt0143000"
011891951029,tt0055686
011891951319,tt0052442
011891970075,tt0043983
011891970235,tt0038991
011891970273,tt0034928
011891970402,tt0039152
011891973199,tt0052451
011891973205,tt0052451
011891973212,tt0055662
011891973229,tt0055662
011891973236,tt0055662
011891973342,tt0054533
011891973502,tt0055686
011891980005,tt0074455
011891980043,tt0053800
011891980050,tt0054788
011891980135,tt0070189
011891980197,tt0056923
011891980203,tt0077945
011891980302,tt0080532
011891980463,tt0074236
011891980586,tt0056211
011891983006,tt0056780
011891983037,tt0055662
011891983044,tt0053479
012233065121,tt1656170
012233068825,tt3770426
012233132922,tt1217616
012233134926,tt0109729
012233135220,tt0443740
012233140521,tt0421057
012233141023,tt0465407
012233160925,tt1282046
012233224924,tt0481544
012233225921,tt0481544
012233231120,tt0479140
012233257427,tt0379322
012233268324,tt0424938
012233295726,tt1150947
012233297522,tt0319803
012233369526,tt2385195
012233370720,tt1504319
012233370751,tt1504319
012233387322,tt0091920
012233394023,tt1429392
012233464320,tt1087527
012233466928,tt2570224
012233481228,tt0455853
012236043904,tt0100802
012236044000,tt0111282
012236044109,tt0103064
012236044208,tt0105236
012236044307,tt0103772
012236044406,tt0092890
012236044505,tt0095963
012236044703,tt0112760
012236044901,tt0117774
012236045106,tt0101761
012236045205,tt0091217
012236045304,tt0082010
012236045403,tt0091763
012236045502,tt0093894
012236045700,tt0092563
012236045809,tt0099871
012236046202,tt0107822
012236046301,tt0104036
012236046509,tt0083944
012236046608,tt0089880
012236046707,tt0095956
012236046905,tt0097770
012236047100,tt0099005
012236047209,tt0120241
012236047308,tt0096487
012236047407,tt0105698
012236047506,tt0077294
012236047803,tt0102250
012236047902,tt0082846
012236048008,tt0097257
012236048404,tt0100224
012236048503,tt0097322
012236048701,tt0084707
012236048800,tt0098627
012236048909,tt0120788
012236049005,tt0098141
012236049104,tt0097883
012236049401,tt0138704
012236049500,tt0093137
012236073604,tt0165494
012236073703,tt0106950
012236073802,tt0092890
012236074106,tt0072081
012236100010,tt0101761
012236100027,tt0092890
012236100102,tt0106950
012236100126,tt0101700
012236100256,tt0077294
012236100287,tt0099277
012236100294,tt0180093
012236100317,tt0120709
012236100485,tt0103939
012236100508,tt0092890
012236100539,tt0097240
012236100546,tt0100224
012236100591,tt0849441
012236101659,tt0151582
012236101727,tt0115693
012236101970,tt0164181
012236102014,tt0118696
012236102298,tt0103064
012236102328,tt0178145
012236102496,tt0100475
012236102557,tt0087482
012236103486,tt0208298
012236103646,tt0103064
012236103738,tt0086423
012236103820,tt0103064
012236103929,tt0208298
012236104124,tt0103850
012236104186,tt0202677
012236104193,tt0074452
012236104339,tt0112760
012236104346,tt0238552
012236104353,tt0142688
012236104513,tt0240380
012236105077,tt0111282
012236105138,tt0106309
012236105602,tt0196596
012236105787,tt1335977
012236105862,tt0111282
012236105886,tt0092563
012236106012,tt0095963
012236106135,tt0202677
012236106234,tt0099005
012236106814,tt0079592
012236106821,tt0099005
012236107514,tt0965375
012236107569,tt0363473
012236107828,tt0048281
012236107835,tt0120241
012236107934,tt0298388
012236108023,tt0192455
012236108061,tt0216930
012236108108,tt0101761
012236108733,tt0092890
012236109358,tt0092890
012236109464,tt0092890
012236109679,tt0103064
012236110118,tt0102250
012236110422,tt0462499
012236110439,tt0097770
012236110460,tt0101700
012236110477,tt0041959
012236110491,tt0185937
012236111870,tt0089961
012236111894,tt0089961
012236112006,tt0102034
012236112020,tt0074452
012236112662,tt0185937
012236112785,tt0114697
012236113577,tt0167367
012236113584,tt0173716
012236113720,tt0298388
012236113775,tt0208298
012236114000,tt0164181
012236114048,tt0115693
012236114055,tt0164181
012236114109,"tt0120524,tt0156182"
012236114185,tt0114697
012236114222,tt0112760
012236114260,tt0099005
012236114277,tt0120241
012236114314,tt0099939
012236114321,tt0097257
012236114338,tt0098627
012236114383,tt0097883
012236114390,tt0111282
012236114888,tt0103850
012236114970,tt0142688
012236114987,tt0192455
012236115007,tt0083944
012236115069,tt0100802
012236115168,tt0097179
012236115175,tt0142032
012236115489,tt0205271
012236115670,tt0180093
012236115694,tt0244196
012236115779,tt0229260
012236115816,tt0101761
012236115885,tt0205271
012236115892,tt0202677
012236115915,tt0074452
012236115922,tt0178145
012236115953,tt0173716
012236116042,tt0097179
012236116059,tt0106950
012236116073,tt0106309
012236116295,tt0092890
012236116301,tt0092991
012236116479,tt0105698
012236116486,tt0103064
012236116509,tt0061300
012236117032,tt0229260
012236117049,tt0244196
012236117056,tt0180093
012236117100,tt0100211
012236117117,tt0096875
012236117278,tt0194218
012236117285,tt0194218
012236117353,tt0240944
012236117360,tt0240944
012236117681,tt0142032
012236117971,tt0107151
012236117988,tt0103805
012236117995,tt0105236
012236118152,tt0180093
012236118602,tt0244536
012236118763,tt0095963
012236118770,tt0096875
012236118893,tt0092563
012236119043,tt0102250
012236119166,tt0100802
012236119371,tt0244795
012236119579,tt0100802
012236119944,tt0238552
012236120483,tt0092563
012236120490,tt0097910
012236120506,tt0105236
012236120513,tt0093966
012236120520,tt0109959
012236120544,tt0113014
012236120599,tt0117958
012236120650,tt0103772
012236121121,tt0103772
012236121145,tt0107151
012236121152,tt0103805
012236121237,tt0061300
012236121596,tt0125659
012236122067,tt0254871
012236122371,tt0243931
012236122456,tt0227005
012236122579,tt0196158
012236123507,tt0234354
012236123514,tt0218619
012236124726,tt0103772
012236124733,tt0103772
012236124740,tt0100802
012236125259,tt0102741
012236125273,tt0102307
012236125297,tt0142032
012236125358,tt0077234
012236125471,tt0111653
012236125488,tt0093476
012236125495,tt0102573
012236125600,tt0095488
012236125709,tt0111282
012236125822,tt0105236
012236125884,tt0233277
012236125945,tt0096487
012236126522,tt0083944
012236126546,tt0089880
012236126553,tt0095956
012236127635,tt0321442
012236127796,tt0248640
012236127819,tt0103205
012236127963,tt0108633
012236128472,tt0105236
012236128793,tt0105236
012236128809,tt0105236
012236128915,tt0283111
012236129240,tt0215516
012236129363,tt0283111
012236129974,tt0283027
012236130208,tt0119426
012236130437,tt0095963
012236130529,tt0254872
012236130598,tt0271582
012236130680,tt0105236
012236130758,tt0167116
012236130796,tt0268636
012236131304,tt0298296
012236131472,tt0105236
012236132004,tt0137146
012236132035,tt0338096
012236132172,tt0110308
012236132233,tt0338096
012236132332,tt0338096
012236132509,tt0104036
012236132837,tt0094885
012236133032,tt0107999
012236133391,tt0263734
012236133636,tt0285462
012236133728,tt0106753
012236133742,tt0116762
012236133841,tt0100046
012236134237,tt0092559
012236134565,tt0298388
012236136262,tt0103266
012236136934,tt0095916
012236137801,tt0314725
012236137894,tt0078330
012236138242,tt0095629
012236138259,tt0098093
012236138587,tt0283090
012236138617,tt0283090
012236138723,tt0287839
012236139102,tt0278249
012236139409,tt0161088
012236140450,tt0165905
012236140528,tt0238205
012236140726,tt0288831
012236140962,tt0091934
012236140986,tt0103064
012236141129,tt0247303
012236141426,tt0278249
012236142089,tt0099939
012236142805,tt0285462
012236142812,tt0285462
012236142829,tt0285462
012236142980,tt0254334
012236143017,tt0254334
012236144090,tt0111444
012236144281,tt0100475
012236144762,tt0383206
012236145653,tt0116241
012236145813,tt0097028
012236146063,tt0316824
012236146254,tt0103064
012236146285,tt0103064
012236146292,tt0103064
012236146544,tt0219919
012236146995,tt0092890
012236147077,tt0099939
012236147695,tt0114009
012236147817,tt0082846
012236148258,tt0092890
012236148388,tt0308508
012236148708,tt0378431
012236148838,tt0093351
012236148913,tt0317676
012236149194,tt0319960
012236149514,tt0246592
012236149545,tt0246592
012236150749,tt0092890
012236151074,tt0111549
012236155225,tt0335119
012236159599,tt0099005
012236159940,tt0425960
012236161127,tt0164181
012236161516,tt0426955
012236161820,tt0105698
012236162438,tt0330793
012236162926,tt0364146
012236162940,tt0167758
012236163565,tt0083944
012236163572,tt0089880
012236163589,tt0095956
012236165774,tt0393392
012236167105,tt0315411
012236170488,tt0100802
012236170679,tt0174937
012236171850,tt0349416
012236171874,tt0349416
012236173106,tt0368658
012236173120,tt0368658
012236173977,tt0369226
012236174004,tt0100758
012236174158,tt0369226
012236174165,tt0369226
012236174509,tt0159060
012236175063,tt0061300
012236176237,tt0290747
012236176251,tt0290747
012236177302,tt0197750
012236179108,tt0330793
012236179139,tt0283111
012236179184,tt0945387
012236180319,tt0099871
012236180470,tt0100802
012236180524,tt0330793
012236181101,tt0096487
012236181255,tt0405055
012236181767,tt0462306
012236181774,tt0462306
012236181866,tt0228459
012236181873,tt0242135
012236182931,tt0061300
012236183341,tt0083944
012236183358,tt0111282
012236183365,tt0105698
012236183396,tt0197750
012236184294,tt0227005
012236184300,tt0101761
012236184324,tt0099939
012236184331,tt0285462
012236184348,tt0477851
012236186076,tt0348333
012236187462,tt0433422
012236187875,tt0102250
012236188483,tt0103772
012236189411,tt0348333
012236189428,tt0348333
012236189435,tt0348333
012236190127,tt0348333
012236191513,tt0103064
012236191520,tt0330793
012236191537,tt0100802
012236191544,tt0105236
012236191551,tt0111282
012236191575,tt0083944
012236191582,tt0308508
012236191599,tt0103772
012236193722,tt0491063
012236194446,tt0101761
012236195818,tt0442740
012236196198,tt0119547
012236196990,tt0442740
012236198239,tt0451033
012236198376,tt0105236
012236199465,tt0101761
012236199472,tt0345235
012236200062,tt0100802
012236200079,tt0111282
012236200178,tt0100802
012236201373,tt0092627
012236201410,tt0429573
012236201915,tt0417904
012236202721,tt0061300
012236203445,tt0096487
012236203476,tt0164181
012236203483,tt0429573
012236203506,tt0429573
012236203513,tt0429573
012236203551,tt0099939
012236204527,tt0092890
012236204534,tt0283111
012236205715,tt0067773
012236207016,tt0430919
012236207429,tt0113037
012236207665,tt0101355
012236210603,tt0208298
012236211723,tt0091934
012236211761,tt0830361
012236211785,tt0830361
012236211884,tt1033472
012236211914,tt0097770
012236212300,tt0853096
012236212775,tt0092890
012236212829,tt0092890
012236212843,tt0112760
012236212850,tt0142688
012236214076,tt0091472
012236215653,tt0348333
012236216919,tt0283111
012236216933,tt0205271
012236218043,tt0099939
012236218234,tt0369226
012236220046,tt0805619
012236220053,tt0805619
012236222187,tt1068958
012236226970,tt0094521
012236228707,tt0151582
012236236269,tt0105698
012236236306,tt0120788
012236604587,tt0099871
012236604693,tt0097770
012236604778,tt0099939
012236604921,tt0111282
012236604976,tt0097240
012236607472,tt0142688
012236607502,tt0165854
012414178497,tt0299591
012414178596,tt0305335
012569057623,tt0079802
012569065826,tt0097166
012569067028,tt0097967
012569067325,tt0082934
012569070820,tt0083284
012569078529,tt0068327
